YEAR,Month,Andhra Pradesh
1972,JUL,272.1
1972,AUG,158.7
1972,SEP,355.1
1972,OCT,576.4
1972,NOV,262.9
1972,DEC,119.3
1973,JAN,0
1973,FEB,0.2
1973,MAR,8.2
1973,APR,6.7
1973,MAY,63.5
1973,JUN,235.9
1973,JUL,378.5
1973,AUG,621.8
1973,SEP,350.3
1973,OCT,633.3
1973,NOV,90.4
1973,DEC,34.3
1974,JAN,0
1974,FEB,0.7
1974,MAR,7.5
1974,APR,24.9
1974,MAY,142.3
1974,JUN,254.6
1974,JUL,292.7
1974,AUG,337.9
1974,SEP,552.1
1974,OCT,655.8
1974,NOV,82.4
1974,DEC,0.1
1975,JAN,15.4
1975,FEB,15.6
1975,MAR,21.3
1975,APR,9.6
1975,MAY,97.5
1975,JUN,307
1975,JUL,556.7
1975,AUG,465.1
1975,SEP,654.3
1975,OCT,856.5
1975,NOV,176.9
1975,DEC,7.2
1976,JAN,0.9
1976,FEB,1.2
1976,MAR,2.4
1976,APR,51.3
1976,MAY,55.5
1976,JUN,203.4
1976,JUL,691.4
1976,AUG,646.4
1976,SEP,229.6
1976,OCT,231.5
1976,NOV,552.5
1976,DEC,8.2
1977,JAN,1.2
1977,FEB,0.5
1977,MAR,7.2
1977,APR,85.1
1977,MAY,208.1
1977,JUN,276.7
1977,JUL,422.9
1977,AUG,483.9
1977,SEP,213.7
1977,OCT,424.9
1977,NOV,432.6
1977,DEC,9.1
1978,JAN,31.5
1978,FEB,38.9
1978,MAR,12.8
1978,APR,61.3
1978,MAY,76.3
1978,JUN,417.9
1978,JUL,609.6
1978,AUG,648.3
1978,SEP,503.9
1978,OCT,212.6
1978,NOV,250.6
1978,DEC,95.7
1979,JAN,15
1979,FEB,82.4
1979,MAR,1.1
1979,APR,33.7
1979,MAY,299.6
1979,JUN,238.2
1979,JUL,272.3
1979,AUG,262.8
1979,SEP,595.8
1979,OCT,135.6
1979,NOV,472.8
1979,DEC,33
1980,JAN,1.6
1980,FEB,0.7
1980,MAR,11.1
1980,APR,34.1
1980,MAY,72.5
1980,JUN,443.8
1980,JUL,393.4
1980,AUG,502.5
1980,SEP,310.8
1980,OCT,212.7
1980,NOV,236.9
1980,DEC,39.4
1981,JAN,30.9
1981,FEB,0.4
1981,MAR,84.8
1981,APR,43.1
1981,MAY,115.3
1981,JUN,282
1981,JUL,480.1
1981,AUG,502.7
1981,SEP,734.9
1981,OCT,344.6
1981,NOV,76.4
1981,DEC,42.8
1982,JAN,6
1982,FEB,0.7
1982,MAR,5.1
1982,APR,54.3
1982,MAY,103.4
1982,JUN,278.2
1982,JUL,428.7
1982,AUG,322.4
1982,SEP,402.3
1982,OCT,422.6
1982,NOV,242.5
1982,DEC,0.1
1983,JAN,0.1
1983,FEB,17.2
1983,MAR,5.8
1983,APR,12.8
1983,MAY,133.4
1983,JUN,313
1983,JUL,537.6
1983,AUG,822
1983,SEP,811.5
1983,OCT,503.8
1983,NOV,67.6
1983,DEC,90.8
1984,JAN,12.5
1984,FEB,100.1
1984,MAR,34.3
1984,APR,45.6
1984,MAY,27.2
1984,JUN,185.1
1984,JUL,582.5
1984,AUG,198
1984,SEP,361.1
1984,OCT,268.8
1984,NOV,192.1
1984,DEC,50.6
1985,JAN,63.5
1985,FEB,0.4
1985,MAR,13.9
1985,APR,32.3
1985,MAY,51.3
1985,JUN,292.7
1985,JUL,470.5
1985,AUG,346.4
1985,SEP,214.1
1985,OCT,438.3
1985,NOV,180.9
1985,DEC,107.6
1986,JAN,135.9
1986,FEB,81.8
1986,MAR,2.5
1986,APR,48.6
1986,MAY,67.6
1986,JUN,247
1986,JUL,356.5
1986,AUG,639.5
1986,SEP,281.2
1986,OCT,295.3
1986,NOV,222
1986,DEC,31.6
1987,JAN,30.5
1987,FEB,1.1
1987,MAR,47.6
1987,APR,28
1987,MAY,88.8
1987,JUN,227.4
1987,JUL,322.8
1987,AUG,498.4
1987,SEP,229.2
1987,OCT,540
1987,NOV,479.8
1987,DEC,103.5
1988,JAN,0.4
1988,FEB,13.1
1988,MAR,11.3
1988,APR,93.5
1988,MAY,127.5
1988,JUN,187.9
1988,JUL,975.9
1988,AUG,744.4
1988,SEP,729.6
1988,OCT,135.8
1988,NOV,66.6
1988,DEC,83.1
1989,JAN,0.1
1989,FEB,0
1989,MAR,99.2
1989,APR,10
1989,MAY,49.5
1989,JUN,358
1989,JUL,981
1989,AUG,471.1
1989,SEP,505.9
1989,OCT,110
1989,NOV,113.6
1989,DEC,57.2
1990,JAN,14.3
1990,FEB,68.9
1990,MAR,99.3
1990,APR,32.3
1990,MAY,710.6
